identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	docx	words	words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	1	0.57	0.5700	0.57	1	1	ok	top-centre: ink we draw that the reference does not (1.20% of page, x 0.37-0.62, y 0.09-0.16)	0	
061_Nursing_Concept_Map_Template_fb9816f0__docx	docx	words	words/chartset-011/docx/061_Nursing_Concept_Map_Template_fb9816f0.docx	1	0.57	0.5700	0.57	1	1	ok	top-centre: ink we draw that the reference does not (1.49% of page, x 0.44-0.72, y 0.11-0.20)	0	
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6__pptx	pptx	slides	slides/chartset-007/pptx/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	3	0.57	0.1900	0.31	1	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (0.60% of page, x 0.07-0.19, y 0.10-0.16)	0	
DoIRD Meeting 16JAN14 v1-1__pptx	pptx	slides	slides/done-010/pptx/DoIRD Meeting 16JAN14 v1-1.pptx	15	0.57	0.0380	0.20	7	0	ok		0	
023_5-Step_Progress_Cards_91d5ff57__pptx	pptx	slides	slides/chartset-013/pptx/023_5-Step_Progress_Cards_91d5ff57.pptx	3	0.56	0.1867	0.30	1	0	ok		0	
Part_375_Operators__xlsx	xlsx	sheets	sheets/done-004/xlsx/Part_375_Operators.xlsx	19	0.56	0.0295	0.56	19	0	ok		7	dotnet;ods-draw-r82;ods-resid-r80;sheet-shapefill-r92;sheets-r52-condvalue;words-r59
manufacturing_process_simulation_working_group_overview_2023__pptx	pptx	slides	slides/done-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	7	0.56	0.0800	0.16	6	0	ok		5	odp-embed-r79;odp-running-r71;slides-missing-01;user-review-slides-02;vision-r68
part-147_approval list_20230119__docx	docx	words	words/done-005/docx/part-147_approval list_20230119.docx	2	0.56	0.2800	0.31	1	0	ok		11	dotnet;odt-frame-r75;odt-split-r82;words-page-anchored-table;words-r62;words-r63
003_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/003_advanced_word_chart_report.docx	1	0.55	0.5500	0.55	1	0	ok		0	
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0__pptx	pptx	slides	slides/chartset-011/pptx/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	3	0.55	0.1833	0.39	1	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (0.60% of page, x 0.07-0.19, y 0.10-0.16)	0	
024_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/024_advanced_word_chart_report.docx	1	0.55	0.5500	0.55	1	0	ok		0	
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	docx	words	words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	0.55	0.5500	0.55	1	0	ok		4	chart-rest-r104;chart-smooth-r102;words-r52
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	docx	words	words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	1	0.55	0.5500	0.55	1	0	ok		0	
1_Country-Updates_DRC_English__pptx	pptx	slides	slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	16	0.55	0.0344	0.13	1	0	ok		11	dotnet;slides-chart-02;slides-f-01;slides-r59;slides-r60;slides-r63
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	xlsx	sheets	sheets/ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	5	0.55	0.1100	0.21	4	0	ok		5	dotnet;sheets-b011-01;sheets-clip-01;sheets-clip-justify;words-vision-01
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	pptx	slides	slides/done-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	19	0.55	0.0289	0.18	1	0	ok		0	
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9__pptx	pptx	slides	slides/chartset-008/pptx/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	2	0.54	0.2700	0.27	1	0	ok		1	slides-r52
019_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/019_advanced_word_chart_report.docx	1	0.54	0.5400	0.54	1	0	ok		0	
025_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/025_advanced_word_chart_report.docx	1	0.54	0.5400	0.54	1	0	ok		0	
029_8-Step_Neumorphic_Cycle_Diagram_b9b75044__pptx	pptx	slides	slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	3	0.54	0.1800	0.28	1	2	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (0.60% of page, x 0.53-0.64, y 0.10-0.16)	0	
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	4	0.54	0.1350	0.31	1	2	ok	top-left: the same marks in a different colour (2.36% of page, x 0.25-0.40, y 0.08-0.29)	0	
WC_Update-Aug03__ppt	ppt	slides	slides/done-001/ppt/WC_Update-Aug03.ppt	11	0.54	0.0491	0.26	7	0	ok		6	dotnet;ppt-autofit-r84;slides-arch-01;slides-r52;slides-r53
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084__pptx	pptx	slides	slides/chartset-005/pptx/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	3	0.53	0.1767	0.35	2	1	ok	top-centre: ink we draw that the reference does not (0.83% of page, x 0.35-0.49, y 0.09-0.17)	0	
007_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/007_advanced_word_chart_report.docx	1	0.53	0.5300	0.53	1	0	ok		1	words-r63
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	docx	words	words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	1	0.53	0.5300	0.53	1	1	ok	top-left: ink we draw that the reference does not (0.74% of page, x 0.03-0.12, y 0.25-0.35)	1	words-group-transform
013_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/013_advanced_word_chart_report.docx	1	0.53	0.5300	0.53	1	0	ok		0	
015_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/015_advanced_word_chart_report.docx	1	0.53	0.5300	0.53	1	0	ok		0	
030_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/030_advanced_word_chart_report.docx	1	0.53	0.5300	0.53	1	0	ok		0	
031_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/031_advanced_word_chart_report.docx	1	0.53	0.5300	0.53	1	0	ok		0	
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e__xlsx	xlsx	sheets	sheets/chartset-010/xlsx/100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.xlsx	1	0.53	0.5300	0.53	1	1	ok	bottom-centre: a fill or background shading the reference has and we do not (1.08% of page, x 0.37-0.57, y 0.84-0.90)	0	
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx	xlsx	sheets	sheets/done-009/xlsx/State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	18	0.53	0.0294	0.10	10	0	ok		1	sheet-wrap-r99
TDA_Smoke-Detectors__xlsx	xlsx	sheets	sheets/done-008/xlsx/TDA_Smoke-Detectors.xlsx	28	0.53	0.0189	0.50	1	0	ok		7	ink-pass-r92;ods-draw-r82;sheet-shapefill-r92;sheets-pagination-01;sheets-r52-condvalue;words-r59
capa-liste-nse-1__xls	xls	sheets	sheets/done-013/xls/capa-liste-nse-1.xls	108	0.53	0.0049	0.12	70	0	ok		5	numfmt-r68;quantise-r120;sheets-rest-01
easa-regulations-update-20__docx	docx	words	words/done-013/docx/easa-regulations-update-20.docx	22	0.53	0.0241	0.18	4	2	ok		3	dotnet;slides-r59;words-r61
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund__xls	xls	sheets	sheets/done-015/xls/underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund.xls	15	0.53	0.0353	0.12	2	0	ok		0	
009_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/009_advanced_word_chart_report.docx	1	0.52	0.5200	0.52	1	0	ok		0	
012_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/012_advanced_word_chart_report.docx	1	0.52	0.5200	0.52	1	0	ok		0	
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	docx	words	words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	1	0.52	0.5200	0.52	1	1	ok	top-centre: ink we draw that the reference does not (1.36% of page, x 0.45-0.70, y 0.11-0.22)	0	
NPA_21_21_Sentenced_Comments__xls	xls	sheets	sheets/done-003/xls/NPA_21_21_Sentenced_Comments.xls	2	0.52	0.2600	0.51	2	1	ok	top-centre: a fill or background shading we draw and the reference does not (1.86% of page, x 0.02-0.98, y 0.08-0.09)	6	biff-condfmt-r97;biff-reader-r98;ods-residue-r95;sheets-clip-band
001_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/001_advanced_word_chart_report.docx	1	0.51	0.5100	0.51	1	0	ok		0	
006_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/006_advanced_word_chart_report.docx	1	0.51	0.5100	0.51	1	0	ok		0	
018_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/018_advanced_word_chart_report.docx	1	0.51	0.5100	0.51	1	0	ok		0	
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	docx	words	words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	1	0.51	0.5100	0.51	1	1	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (1.63% of page, x 0.35-0.64, y 0.12-0.21)	0	
032_Business_expenses_budget_d377eaab__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	4	0.51	0.1275	0.27	4	0	ok		0	
Ramp Up Campaign - French__pptx	pptx	slides	slides/metrics-001/pptx/Ramp Up Campaign - French.pptx	6	0.51	0.0850	0.24	4	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (1.44% of page, x 0.02-0.12, y 0.01-0.19)	13	L5-slides;L8-drawing;odp-embed-r79;odp-running-r71;odp-vision-r78;slides-metrics-01
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	docx	words	words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	1	0.50	0.5000	0.50	1	1	ok	top-centre: a fill or background shading we draw and the reference does not (0.57% of page, x 0.45-0.54, y 0.15-0.21)	0	
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx	xlsx	sheets	sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	5	0.50	0.1000	0.26	1	0	ok		0	
021_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/021_advanced_word_chart_report.docx	1	0.50	0.5000	0.50	1	0	ok		0	
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3__pptx	pptx	slides	slides/chartset-008/pptx/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	3	0.50	0.1667	0.27	1	2	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (0.60% of page, x 0.07-0.19, y 0.10-0.16)	0	
b053-19__docx	docx	words	words/done-011/docx/b053-19.docx	2	0.50	0.2500	0.50	1	0	ok		14	L1-text-metrics;chart-fit-r97;frame-area-r85;probes;words-close-r95;words-continuous-header-r70
004_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/004_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok		0	
016_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/016_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok		0	
022_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/022_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok		0	
027_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/027_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok		0	
033_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/033_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok		0	
059_Disease_Concept_Map_Template_4acf63f2__docx	docx	words	words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	1	0.49	0.4900	0.49	1	0	ok		1	words-group-transform
07-04__doc	doc	words	words/done-004/doc/07-04.doc	3	0.49	0.1633	0.19	1	0	ok		8	L4-doc-legacy;dotnet;words-border-style;words-pages-01
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83__pptx	pptx	slides	slides/chartset-014/pptx/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.pptx	3	0.49	0.1633	0.27	2	1	ok	top-centre: marks displaced or reshaped (7.54% of page, x 0.07-0.69, y 0.02-0.17)	0	
NWD-GLA-Community-Outreach-Day-Oct-2025__pptx	pptx	slides	slides/missing-001/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	13	0.49	0.0377	0.26	2	0	ok		13	dotnet;odp-running-r71;slides-ink-r94;slides-missing-01;slides-rebase-01;user-review-slides-02
010_advanced_word_chart_report__docx	docx	words	words/chartset-004/docx/010_advanced_word_chart_report.docx	1	0.48	0.4800	0.48	1	0	ok		0	
028_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/028_advanced_word_chart_report.docx	1	0.48	0.4800	0.48	1	0	ok		0	
SWDD-template__docx	docx	words	words/done-009/docx/SWDD-template.docx	6	0.48	0.0800	0.14	4	4	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (0.80% of page, x 0.11-0.69, y 0.07-0.08)	1	words-character-scale
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	docx	words	words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	1	0.47	0.4700	0.47	1	0	ok		1	words-group-transform
012_Contextures_chart_sample_9900da76__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/012_Contextures_chart_sample_9900da76.xlsx	6	0.47	0.0783	0.30	2	1	ok	middle-left: ink missing from ours — a graphic, glyphs or a fill (1.19% of page, x 0.00-0.09, y 0.25-0.42)	2	clip-seats-r97;sheets-r55
1528364855__doc	doc	words	words/done-010/doc/1528364855.doc	3	0.47	0.1567	0.26	3	0	ok		4	L4-doc-legacy;dotnet;words-r58;words-version-screen
Part_129_Operators__xlsx	xlsx	sheets	sheets/done-005/xlsx/Part_129_Operators.xlsx	23	0.47	0.0204	0.47	23	0	ok		6	ods-draw-r82;ods-resid-r80;sheets-r52-condvalue;words-r59
te.iors.00048-002 SUP Questionnaire__docx	docx	words	words/done-010/docx/te.iors.00048-002 SUP Questionnaire.docx	4	0.47	0.1175	0.26	3	0	ok		3	slides-r60;words-r63
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	docx	words	words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	1	0.46	0.4600	0.46	1	1	ok	top-centre: ink we draw that the reference does not (1.45% of page, x 0.18-0.61, y 0.09-0.16)	0	
052_Manufacturing_output_chart_88570318__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	1	0.46	0.4600	0.46	1	0	ok		0	
1200-Assigning-Club-officers__pptx	pptx	slides	slides/done-015/pptx/1200-Assigning-Club-officers.pptx	16	0.46	0.0288	0.29	10	0	ok		2	dotnet;slides-r52
AIM_OPR_LIST__xls	xls	sheets	sheets/done-015/xls/AIM_OPR_LIST.xls	229	0.46	0.0020	0.05	154	0	ok		8	biff-reader-r98;probes;quantise-r120;sheet-shapefill-r90;sheets-wrap-01
List of EQS securities_0__xls	xls	sheets	sheets/done-011/xls/List of EQS securities_0.xls	104	0.46	0.0044	0.07	79	0	ok		3	numfmt-r68;ods-track-r88;sheets-d-01
SFSP_2013-02_Bulletin__doc	doc	words	words/done-015/doc/SFSP_2013-02_Bulletin.doc	4	0.46	0.1150	0.16	4	0	ok		7	L4-doc-legacy;crop-wiring-01;words-aschar-band;words-border-style;words-f-01;words-r58
013_Contextures_chart_sample_21b98e22__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/013_Contextures_chart_sample_21b98e22.xlsx	7	0.45	0.0643	0.32	2	1	ok	middle-left: a fill or background shading the reference has and we do not (1.05% of page, x 0.00-0.08, y 0.29-0.43)	3	sheets-r54;sheets-r55
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	docx	words	words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	1	0.45	0.4500	0.45	1	0	ok		0	
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	docx	words	words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	1	0.45	0.4500	0.45	1	1	ok	top-centre: ink we draw that the reference does not (1.38% of page, x 0.37-0.62, y 0.13-0.21)	0	
REDAC_SCHEDULE_RPD_137__xls	xls	sheets	sheets/done-002/xls/REDAC_SCHEDULE_RPD_137.xls	2	0.45	0.2250	0.43	1	0	ok		1	words-r59
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx	xlsx	sheets	sheets/done-001/xlsx/oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software.xlsx	2	0.45	0.2250	0.36	1	0	ok		0	
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	11	0.44	0.0400	0.08	7	0	ok		0	
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58.xlsx	2	0.44	0.2200	0.43	2	1	ok	top-centre: a fill or background shading the reference has and we do not (0.99% of page, x 0.31-0.60, y 0.07-0.11)	0	
apron-area__xls	xls	sheets	sheets/done-005/xls/apron-area.xls	3	0.44	0.1467	0.41	1	0	ok		35	biff-reader-r98;dotnet;ods-draw-r82;ods-residue-r95;probes;sheet-draw-r107
017_Timeline_Templates_for_Excel_b88faee6__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/017_Timeline_Templates_for_Excel_b88faee6.xlsx	3	0.43	0.1433	0.23	1	1	ok		4	ods-notes-r92;ods-residue-r95
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx	pptx	slides	slides/done-006/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	9	0.43	0.0478	0.13	8	0	ok		0	
014_Contextures_chart_sample_991ecfc5__xls	xls	sheets	sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	3	0.42	0.1400	0.35	1	0	ok		19	chart-geom-r108;chart-inner-r110;chart-resid-r99;chart-secaxis;chart-slide-r117;dotnet
039_Baby_growth_tracker_e295ae56__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	2	0.42	0.2100	0.40	2	1	ok	top-centre: marks displaced or reshaped (2.62% of page, x 0.10-0.58, y 0.25-0.31)	0	
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	docx	words	words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	1	0.42	0.4200	0.42	1	1	ok	top-centre: ink we draw that the reference does not (1.30% of page, x 0.38-0.62, y 0.09-0.16)	0	
056_Organogram_Template_Square_Theme_38f373d4__docx	docx	words	words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.docx	1	0.42	0.4200	0.42	1	0	ok		1	words-r51-flies
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed.xlsx	1	0.42	0.4200	0.42	1	1	ok	bottom-centre: a fill or background shading the reference has and we do not (0.96% of page, x 0.33-0.58, y 0.88-0.92)	0	
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	2	0.41	0.2050	0.41	1	1	ok	top-right: ink we draw that the reference does not (1.62% of page, x 0.71-0.89, y 0.27-0.38)	0	
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx	docx	words	words/chartset-010/docx/026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	1	0.41	0.4100	0.41	1	0	ok		1	words-group-transform
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01.xlsx	1	0.41	0.4100	0.41	1	1	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (0.98% of page, x 0.35-0.61, y 0.15-0.20)	0	
ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar__ppt	ppt	slides	slides/done-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	10	0.41	0.0410	0.11	7	0	ok		0	
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	docx	words	words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	1	0.40	0.4000	0.40	1	0	ok		0	
026_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/026_advanced_word_chart_report.docx	1	0.40	0.4000	0.40	1	0	ok		0	
039_Consumer_Decision_Journey_for_PowerPoint_319207e1__pptx	pptx	slides	slides/chartset-007/pptx/039_Consumer_Decision_Journey_for_PowerPoint_319207e1.pptx	1	0.40	0.4000	0.40	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (1.11% of page, x 0.07-0.27, y 0.09-0.17)	0	
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f__docx	docx	words	words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	1	0.40	0.4000	0.40	1	0	ok		0	
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1.xlsx	1	0.40	0.4000	0.40	1	1	ok	top-left: a fill or background shading the reference has and we do not (0.88% of page, x 0.08-0.24, y 0.08-0.14)	0	
004_Contextures_chart_sample_de7c0671__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	4	0.39	0.0975	0.39	1	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (0.93% of page, x 0.31-0.39, y 0.55-0.70)	1	chart-axis-r87
031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05__pptx	pptx	slides	slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	3	0.39	0.1300	0.32	1	0	ok		0	
087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912__pptx	pptx	slides	slides/chartset-009/pptx/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	4	0.39	0.0975	0.17	2	0	ok		0	
10795__doc	doc	words	words/done-003/doc/10795.doc	4	0.39	0.0975	0.18	3	0	ok		2	L1-text-metrics;fonts-r64
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	xls	sheets	sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	3	0.39	0.1300	0.37	1	0	ok		2	chart-geom-r108;sheets-r33
AFS-400_Contacts__xlsx	xlsx	sheets	sheets/done-006/xlsx/AFS-400_Contacts.xlsx	48	0.39	0.0081	0.15	36	0	ok		3	dotnet;ods-resid-r80;sheets-extra-01
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls	xls	sheets	sheets/pagination-001/xls/CIS_Debian_Linux_8_Benchmark_v1.0.0.xls	88	0.39	0.0044	0.08	1	0	ok		23	L6-sheets;dotnet;mismatch-classify-01;ods-page-r77;ods-resid-r80;orig-gate-r83
EASA_PRODUCT_LIST_-_ALL__xlsx	xlsx	sheets	sheets/done-015/xlsx/EASA_PRODUCT_LIST_-_ALL.xlsx	264	0.39	0.0015	0.27	86	0	ok		2	dotnet;sheets-d-01
slcc-architecture-uu-architecture__docx	docx	words	words/done-012/docx/slcc-architecture-uu-architecture.docx	4	0.39	0.0975	0.20	3	0	ok		10	dotnet;odt-frame-r75;odt-page-r87;odt-split-r82;words-floating-table;words-justify-shrink
014_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/014_advanced_word_chart_report.docx	1	0.38	0.3800	0.38	1	0	ok		0	
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx	docx	words	words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	1	0.38	0.3800	0.38	1	0	ok		0	
080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f__pptx	pptx	slides	slides/chartset-012/pptx/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.pptx	3	0.38	0.1267	0.21	1	0	ok		0	
120509coss__doc	doc	words	words/done-016/doc/120509coss.doc	25	0.38	0.0152	0.07	19	0	ok		3	rtf-resid-r80;words-aschar-band
002_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/002_advanced_word_chart_report.docx	1	0.37	0.3700	0.37	1	0	ok		0	
REDAC_SCHEDULE_RPD_135__xls	xls	sheets	sheets/done-001/xls/REDAC_SCHEDULE_RPD_135.xls	1	0.37	0.3700	0.37	1	0	ok		0	
061_Four-Stage_Serpentine_Chart_05699efe__pptx	pptx	slides	slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	3	0.36	0.1200	0.19	2	0	ok		0	
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009.xlsx	1	0.36	0.3600	0.36	1	1	ok	bottom-centre: a fill or background shading the reference has and we do not (1.03% of page, x 0.38-0.57, y 0.84-0.89)	0	
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	doc	words	words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	1	0.36	0.3600	0.36	1	0	ok		1	fonts-r64
038_Baby_growth_chart_bb9cd672__xlsx	xlsx	sheets	sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	2	0.35	0.1750	0.31	2	0	ok		0	
2015-April-SWIM_Users_Forum-Q&A__docx	docx	words	words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	5	0.35	0.0700	0.16	2	0	ok		3	dotnet;trailing-nbsp-wrap;words-version-screen
